Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Długo działające beta2-mimetyki (LABA):,Podawane przewlekle powodują down-regulację receptorów beta2-adrenergicznych w oskrzelach,,,,,Nie powinny być podawane razem z glikokortykosteroidami które blokują wytwarzanie białek receptorów beta2-adrenergicznych,Mogą być przyczyną istotnej klinicznie hieprkaliemi,Wykazują działanie przeciwzapalne,,,EGZ 2019 I termin,wysoka
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,lekarski,testowe,Wskaż prawidłowe stwierdzenie dotyczące NLPZ:,Ketoprofen powoduje większe ryzyko krwawienia z górnego odcinka przewodu pokarmowego niż ibuprofen,,,,,Meloksykam jest preferencyjnym inhibitorem COX-1,Zastąpienie drogi doustnej podania diklofenaku drogą doodbytniczą zmniejsza ryzyko wystąpienia działań niepożądanych,Nimesulid należy do najmniej hepatotoksycznych NLPZ,,,EGZ 2019 I termin,wysoka
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Lekiem prkeursorowym jest:,Enalapryl,Cyklezonid,Lewodopa,,,Furosemid,,,,,EGZ 2019 I termin,niska
LEKI IMMUNOSUPRESYJNE,Wskazania,lekarski,testowe,Cyklosporyna:,Jest stosowana w zapobieganiu odrzucania przeszczepu allogenicznego narządów unaczynionych,Zwiększa ryzyko chorób rozrostowych układu chłonnego,,,,Jest rekombinowanym w pełni ludzkim przeciwciałem monoklonalnym,Neutralizuje biologiczną aktywność TNF,,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,Do leków o udowodnionym korzystnym działaniu w profilaktyce wtórnej niedokrwiennego udaru mózgu należy:,Kwas acetylosalicylowy,Atorwastatyna,Klopidogrel,,,Kwas traneksamowy,,,,,EGZ 2019 I termin,srednia
CHOROBA PARKINSONA,Wskazania,lekarski,testowe,Lewodopa:,Jest jednym z najskuteczniejszych leków stosowanych w terapii choroby Parkinsona,Ma krótki okres półtrwania i dlatego wymaga wielokrotnego podawania w ciągu doby,Podczas długotrwałego leczenia może wywołać fluktuacje ruchowe i dyskinezy,Może wywoływać działania niepożądane ze strony przewodu pokarmowego,,,,,,,EGZ 2019 I termin,wysoka
HEMOSTAZA,Działania niepożądane,lekarski,testowe,Kokaina:,Hamuje wychwyt zwrotny dopaminy w szczelinie synaptycznej,Może powodować wystąpienie zawału mięśnia sercowego,Może powodować krwawienia wewnątrzczaszkowe,,,Hamuje aktywność receptora dla kwasu glutaminowego,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWHISTAMINOWE,Klasyfikacja,lekarski,testowe,W alergicznym zapaleniu spojówek może stosować dospojówkowo:,Antazolinę,Azelastynę,Kromoglikan sodowy,Olopatadynę,,,,,,,EGZ 2019 I termin,niska
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Wskazania,lekarski,testowe,Stosowanie preparatu złożonego bupropionu z naltreksonem w leczeniu otyłości:,Ma wpływ na ośrodkowy układ nagrody,Zwiększa i wydłuża uczucie sytości,Ma zwiększoną skuteczność kliniczną ze względu na efekt synergistyczny bupropionu i naltreksonu,,,Jest wskazane dla wszystkich osób z wyjściową wartością BMI wynoszącą ≥27,,,,,EGZ 2019 I termin,niska
UKŁAD WSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Dodatek adrenaliny do lidokainy w lekach do znieczulania miejscowego może powodować:,Zwiększone ryzyko martwicy tkanek po podaniach obwodowych,Wydłużenie czasu działania lidokainy,,,,Zwiększone niebezpieczeństwo zatrzymania oddechu,Zahamowanie metabolizmu lidokainy,,,,EGZ 2019 I termin,niska
NIEWYDOLNOŚĆ SERCA,Sposób podania,lekarski,testowe,Digoksyna,Podtrzymuje aktywację baroreceptorów zatoki szyjnej przy obniżeniu ciśnienia krwi u osób z niewydolnością serca,Podana doustnie może być nieskuteczna z powodu dezaktywacji przez bakterie jelitowe,,,,Powoduje kardiowersję migotania przedsionków do rytmu zatokowego,Jest lekiem o korzystnym działaniu rokowniczym w skurczowej niewydolności serca,,,,EGZ 2019 I termin,srednia
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Teoretyczną przesłanką stosowania beta-adrenolityków w przewlekłej skurczowej niewydolności serca jest:,Odwracanie beta-down regulacji,Zapobieganie proarytmicznemu działaniu katecholamin,,,,Korzystny bezpośredni wpływ hemodynamiczny,Zwiększenie naprężenia ściany lewej komory,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWHISTAMINOWE,Farmakokinetyka,lekarski,testowe,Rupatadyna:,Ma minimalny potencjał sedatywny,Oprócz antagonizmu wobec receptora H1 wykazuje przeciwzapalną aktywność pozareceptorową,W znacznym stopniu ulega efektowi pierwszego przejścia z powstaniem aktywnych metabolitów,W dawkach zalecanych nie wydłuża skorygowanego odstępu cQT,,,,,,,EGZ 2019 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Przeciwwskazania,lekarski,testowe,U pacjentów z eGFR<30ml/min należy rezygnować ze stosowania:,Metyforminy,Hydrochlorotiazydu,,,,Metoprololu,Amlodypiny,,,,EGZ 2019 I termin,srednia
UKŁAD PRZYWSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Wenlafaksyna:,Może być podawana w uogólnionych zaburzeniach lękowych,Stosowana razem z tryptanami może powodować wystąpienie zespołu serotoninowego,,,,Ma istotne działanie cholinolityczne,Można ją bezpiecznie stosować w terapii skojarzonej z inhibitorami MAO,,,,EGZ 2019 I termin,niska
LEKI IMMUNOSUPRESYJNE,Klasyfikacja,lekarski,testowe,Czy słuszna jest przedstawiona interpretacja działania leku na podstawie nazwy międzynarodowej:,Paliwizumab – humanizowane przeciwciało monoklonalne o działaniu p￾wirusowym,Ekulizumab – humanizowane przeciwciało monoklonalne o wpływie na układ odpornościowy,,,,Ofatumumab – mysie przeciwciało monoklonalne o wpływie p-nowotworowym,Pomalidomid – mysie przeciwciało monoklonalne o wpływie na układ odpornościowy,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWNOWOTWOROWE,Klasyfikacja,lekarski,testowe,Do przeciwciał monoklonalnych anty-TNF należy:,Adalimumab,,,,,Omalizumab,Trastuzumab,Rytuksymab,,,EGZ 2019 I termin,srednia
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,Werapamil można stosować w:,Postaci naczynioskurczowej choroby niedokrwiennej serca,Napadowym częstoskurczu z łącza przedsionkowo-komorowego,,,,Bradykardii,Migotaniu przedsionków u osób z zespołem preekscytacji,,,,EGZ 2019 I termin,wysoka
NIEWYDOLNOŚĆ SERCA,Mechanizm działania,lekarski,testowe,Inhibitory neprylizyny:,Zmniejszają przebudowę mięśnia sercowego,Zwiększają stężenie angiotensyny II,Są stosowane w przewlekłej niewydolności serca z upośledzoną frakcją wyrzutową,,,Rozkładają peptydy natriuretyczne,,,,,EGZ 2019 I termin,niska
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,"Biodostępność leku A po jednorazowym podaniu doustnym wynosi 50%. Tmax wynosi 30min, Cmax 2µg/dl. Oznacza to, że:",Lek A może podlegać nawet w 50% efektowi pierwszego przejścia,,,,,Dawka wynosiła 4µg,Lek A słabo się wiąże z białkami krwi,Okres półtrwania leku A wynosi również około 30min,,,EGZ 2019 I termin,srednia
FARMAKOKINETYKA,Działania niepożądane,lekarski,testowe,Podanie doodbytnicze leku:,Może łatwo doprowadzić do miejscowego uszkodzenia błony śluzowej odbytnicy,,,,,Zwiększa efekt pierwszego przejścia,Jest metodą z wyboru u dzieci,Wymaga podania większej dawki leku w porównaniu do podania doustnego,,,EGZ 2019 I termin,niska
NADCIŚNIENIE TĘTNICZE,Mechanizm działania,lekarski,testowe,Zaburzenia erekcji mogą być spowodowane stosowaniem:,Inhibitorów 5-alfa reduktazy,Tiazydów moczopędnych,Beta-adrenolityków niekardioselektywnych,Inhibitorów wychwytu zwrotnego serotoniny,,,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,lekarski,testowe,Doneuronalny wychwyt monoamin jest hamowany przez:,Citalopram,Reboksetynę,,,,Tianeptynę,Mirtazapinę,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu gruźlicy płucnej lekowrażliwej:,Leczenie wyjaławiające powinno trwać co najmniej 4 miesiące,U kobiet ciężarnych podaje się leki według zwykłego schematu z wyłączeniem streptomycyny,,,,W intensywnej fazie leczenia przez 2 miesiące podaje się 2 leki – rifampicynę i izoniazyd,W fazie kontynuacji każdy pacjent powinien otrzymać etambutol,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWDEPRESYJNE,Wskazania,lekarski,testowe,Wskaż prawdziwe połączenie lek-wskazanie:,Sulpiryd – schizofrenia,Metylofenidat – ADHD,,,,Moklobemid – bezsenność,Sertindol – depresja,,,,EGZ 2019 I termin,srednia
LEKI PRZECIWPSYCHOTYCZNE,Klasyfikacja,lekarski,testowe,Hiperprolaktynemia może wiązać się z leczeniem:,Promazyną,Rysperydonem,Metoklopramidem,,,Bromokryptyną,,,,,EGZ 2019 I termin,wysoka
UKŁAD WSPÓŁCZULNY,Antidotum,lekarski,testowe,Ośrodkowy zespół cholinolityczny może wystąpić w wyniku ostrego przedawkowania:,Doksepiny,Olanzapiny,Perfenazyny,Klemastyny,,,,,,,EGZ 2019 I termin,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące metamizolu:,Podczas szybkiego wstrzykiwania dożylnego leku może dojść do gwałtownych spadków ciśnienia krwi,Może powodować ciężkie uszkodzenia szpiku w mechanizmie nadwrażliwości,"Zwiększa częstość występowania guzów Wilmsa (nephroblastoma, nerczak zarodkowy)",,,Ma silne działanie przeciwzapalne,,,,,EGZ 2019 I termin,niska
HEMOSTAZA,Mechanizm działania,lekarski,testowe,Które połączenie lekowe jest bezwzględnie konieczne w wymienionej sytuacji klinicznej:,Sartan + sakubitryl w skurczowej niewydolności serca,Kwas acetylosalicylowy + antagonista receptorów P2Y12 po angioplastyce wieńcowej z implantacją stentu,,,,Heparyna drobnocząsteczkowa + ksaban w początkowym okresie leczenia żylnej choroby zakrzepowo zatorowej,Adrenalina + atropina w resuscytacji krążeniowo-oddechowej w przebiegu NZK z asystolią,,,,EGZ 2019 I termin,wysoka
UKŁAD PRZYWSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Efekt prokinetyczny można uzyskać:,Pobudzając receptory 5-HT4,Blokując receptory dopaminowe D2,Hamując aktywność acetylocholinoesterazy,Pobudzając receptory motylinowe,,,,,,,EGZ 2019 I termin,niska
CUKRZYCA,Wskazania,lekarski,testowe,Glukagon:,Stosowany jest w leczeniu ciężkiej hipoglikemii gdy nie można podać dożylnie glukozy,Jest podawany parenteralnie,Ma zastosowanie w zatruciach lekami beta-adrenolitycznymi,Jest nieskuteczny w przypadku glikemii,,,,,,,EGZ 2019 I termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Ryzyko encefalopatii w przebiegu marskości wątroby zmniejsza stosowanie:,Ryfaksyminy,Asparaginianu ornityny,Laktulozy,,,Benzodiazepin,,,,,EGZ 2019 I termin,srednia
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,W celu przerwania ataku duszności uzasadnione jest podanie wziewne:,Bromku ipratriopium,Salbutamolu,,,,Roflumilastu,flutykazonu,,,,EGZ 2019 I termin,wysoka
GLIKOKORTYKOSTEROIDY,Wskazania,lekarski,testowe,W leczeniu małopłytkowości stosuje się:,Preparaty immunoglobulin poliwalentnych,Eltrombopag,Romiplostym,Prednizon,,,,,,,EGZ 2019 I termin,niska
LEKI PRZECIWNOWOTWOROWE,Wskazania,lekarski,testowe,Ewerolimus jest stosowany w:,Kardiologii (stenty wieńcowe),Onkologii (wybrane zaawansowane nowotwory piersi i nerki),,,,Neurologii (stwardnienie rozsiane),Dermatologii (łuszczyca),,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,Wskaż prawdziwe zdanie:,W chromaniu przestankowym znaczenie kliniczne ma leczenie przeciwpłytkowe i hipolipemizujące,"Zaleca się podawanie inhibitora P2Y12 przed przezskórną interwencją wieńcową u osoby z ostrym zespołem wieńcowym, a następnie kontynuację tego leczenia przez co najmniej 12 miesięcy",Po rozpoczęciu leczenia inhibitorami konwertazy angiotensyny należy się spodziewać niewielkiego wzrostu stężenia kreatyniny we krwi,,,Niedihydropirydynowi antagoniści wapnia są wskazani w leczeniu pacjentów z niewydolnością serca z obniżoną frakcją wyrzutową,,,,,EGZ 2019 I termin,niska
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,U osób z pierwotnym wydłużenie QTc bezpieczne jest zastosowanie:,Propranololu,,,,,Digoksyny,Sotalolu,Amiodaronu,,,EGZ 2019 I termin,srednia
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,lekarski,testowe,Beta-adrenolityki można zastosować w:,Tachykardii zatokowej,Niewydolności mięśnia serca z upośledzoną frakcją wyrzutową,W kontroli rytmu komór w migotaniu przedsionków,,,Naczynioskurczowym wariancie choroby niedokrwiennej serca,,,,,EGZ 2019 I termin,niska
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Lidokaina:,Jest skuteczna w znieczulaniu nasiękowym,Jest metabolizowana w wątrobie,Może powodować drgawki,,,Silnie blokuje kanały potasowe,,,,,EGZ 2019 I termin,niska
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe połączenie lek-działanie niepożądane:,Ramipryl-obrzęk naczynioruchowy,Metoprolol-zasłabnięcie lub omdlenie,,,,Losartan-zwiększenie stężenia kwasu moczowego,Simwastatyna-poprawa tolerancji glukozy,,,,EGZ 2019 I termin,srednia
LEKI MOCZOPĘDNE,Klasyfikacja,lekarski,testowe,Która ordynacja jest błędna i wymaga korekty?,Furosemid p.o. 1xd w obrzękach pochodzenia sercowego,Hydrochlorotiazyd p.o. 1xd w obrzękach kończyn dolnych w przebiegu zespołu pozakrzepowego podudzi,,,,Torasemid p.o. 1xd w obrzękach pochodzenia nerkowego,Spironolakton p.o. 1xd w wodobrzuszu w przebiegu niewydolności wątroby,,,,EGZ 2019 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,"Koangiokardianem, czyli lekiem działającym bezpośrednio na serce i naczynia jest:",Lewosymendan,,,,,Midodryna,Epoprostenol,Riocyguat,,,EGZ 2019 I termin,wysoka
OSTEOPOROZA,Wskazania,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące bisfosfonianów:,Są lekami pierwszego rzutu w profilaktyce i leczeniu osteoporozy pomenopauzalnej u kobiet,Mogą być stosowane w zapobieganiu i leczeniu osteoporozy posteroidowej,U osób z przerzutami nowotworowymi do układu kostnego łagodzą bóle kostne,Przeciwwskazaniem do ich podawania jest ciężka niewydolność nerek (GFR<30),,,,,,,EGZ 2019 I termin,srednia
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,Zmniejszenie hipertriglicerydemii można osiągnąć stosując:,Atorwastatynę,Fenofibrat,PUFA-wielonienasycone kwasy tłuszczowe,,,Koleswelam,,,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Lekiem wydłużającym dystans chromania przestankowego jest:,Natydrofuryl,Cilostazol,,,,Pentoksyfilina,Diosmina mikronizowana,,,,EGZ 2019 I termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Wskazania,lekarski,testowe,W prawidłowo przeprowadzonym leczeniu statynami należy:,Oznaczyć aktywność ALAT i CK w surowicy przed rozpoczęciem leczenia,Odstawić statynę jeśli aktywność ALAT przekroczy w surowicy 3-krotnie górną granicę wartości prawidłowych,,,,Ocenić skuteczność leczenia hipolipemizującego po 2 tygodniach od jego rozpoczęcia,Mintorować aktywność CK u każdego pacjenta,,,,EGZ 2019 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Na kanały sodowe ma wpływ:,Ranolazyna,Iwabradyna,,,,Adenozyna,Nitrendypina,,,,EGZ 2019 I termin,niska
FARMAKOKINETYKA,Interakcje,lekarski,testowe,Interakcją farmakokinetyczną jest:,Hamowanie wchłaniania z przewodu pokarmowego leków podawanych jednocześnie,Zwiększanie metabolizmu leków podawanych jednocześnie,,,,Wytrącanie się osadu po zmieszaniu dwóch leków w jednym roztworze do wstrzyknięcia,Nasilenie sedacji po skojarzeniu opioidów z etanolem,,,,EGZ 2019 I termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Antidotum,lekarski,testowe,Właściwości farmakodynamiczne i parametry farmakokinetyczne leków mają wpływ na podejmowanie decyzji klinicznych. Czy słuszne jest wobec tego:,Wielokrotne powtórzenie dawki naloksonu(t1/2=63min+/-12min) po przedawkowaniu metadonu,,,,,Przetoczenie koncentratu płytek krwi 13h po podaniu tikagrelolu (tikagrelol ze swoim czynnym metabolitem mają łączny czas półtrwania eliminacji 12h),"Odstawienie suplementacji potasu w hiperaldosteronizmie pierwotnym po 16-17h po włączeniu spironolaktonu (Cmax karnenonu=16,5h po podaniu spironolaktonu)","Przeprowadzenie operacji neurochirurgicznej po 36h po odstawieniu klopidogrelu(t1/2=6h, jego aktywne mają pomijalnie krótki t1/2)",,,EGZ 2019 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Kolistyna:,Może być podawana wziewnie u osób z mukowiscydozą,Może być stosowana w leczeniu ciężkich zakażeń uogólnionych wywołanych prze Klebsiella pneumoniae wytwarzającą karbapenemazy,Wykazuje aktywność wobec Pseudomonas aeruginosa,,,Jest skuteczna w neuroinfekcjach,,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Ciąża,lekarski,testowe,Doksycyklina,Działa na bakterie atypowe,,,,,Może być bezpiecznie stosowana u dzieci powyżej 2r.ż,Jest anatgonistą receptorów GABA-A wywołujących efekt sedatywny,Jest bezpieczna w terapii kobiet w ciąży,,,EGZ 2019 I termin,niska
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Wskaż prawdziwe połączenie lek-mechanizm działania:,Fosfomycyna-blokowanie syntezy ściany komórkowej bakterii,,,,,Cefepim-hamowanie topoizomerazy II,Pefloksacyna-hamowanie biosyntezy białka w komórkach bakterii poprzez wiązanie się z podjednostką 50S rybosomu,Trimetoprim-bezpośrednie uszkodzenie DNA,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe połączenie lek-działania niepożądane:,Amoksycylina-leukopenia w mechanizmie nadwrażliwości immunologicznej,Tynidazol-neuropatia obwodowa,Amikacyna-zaburzenia słuchu i równowagi,,,Roksytromycyna-uszkodzenie nerek,,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWWIRUSOWE,Klasyfikacja,lekarski,testowe,Właściwy wybór leku przeciwwirusowego w zakażeniu to:,Wirus HBV-lamiwudyna,Cytomegalowirus-walgancyklowir,,,,Norowirus-sakwinawir,Wirus opryszczki-rybawiryna,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Wskaż prawdziwe połączenie lek-wrażliwy drobnoustrój:,Lewofloksacyna-Streptococcus pneumoniae,Aksetyl cefuroksymu-Hemophilus influenzae,,,,Fenoksymetylopenicylina-Staphylococcus aureus MSSA,Fidaksomycyna-Bacteroides fragilis,,,,EGZ 2019 I termin,wysoka
